Message	Time	Device_id	Payload	Latitude	Longitude	Altitude	Precision Dop	CPU VCC (volt)	CPU Temp (deg C)	Time to fix (sec)	extra value 2
"{""arduino_VCC"":4.28,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63840333452245,""gps_lng"":4.749666735510004,""gps_prec"":1.8,""payload"":""ca dd e 83 60 a6 0 0 12 / d6 79 42"",""raw"":""yt0Og2CmAAAS1nlC"",""time"":""2017-03-09T12:07:09.041124272Z"",""time_to_fix"":90"	3/9/2017 12:07	ballon	ca dd e 83 60 a6 0 0 12 / d6 79 42	52.63840333	4.749666736	0	1.8	4.28	21	90	
"{""arduino_VCC"":4.28,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63845697870593,""gps_lng"":4.749838396897189,""gps_prec"":1.8,""payload"":""ca dd 13 83 60 ae 0 0 12 / d6 79 28"",""raw"":""yt0Tg2CuAAAS1nko"",""time"":""2017-03-09T12:08:19.497506479Z"",""time_to_fix"":40"	3/9/2017 12:08	ballon	ca dd 13 83 60 ae 0 0 12 / d6 79 28	52.63845698	4.749838397	0	1.8	4.28	21	40	
"{""arduino_VCC"":4.28,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":23,""gps_lat"":52.63871447078671,""gps_lng"":4.750031515957801,""gps_prec"":3.1,""payload"":""ca dd 2b 83 60 b7 0 17 1f / d6 79 28"",""raw"":""yt0rg2C3ABcf1nko"",""time"":""2017-03-09T12:10:20.024908448Z"",""time_to_fix"":40"	3/9/2017 12:10	ballon	ca dd 2b 83 60 b7 0 17 1f / d6 79 28	52.63871447	4.750031516	23	3.1	4.28	21	40	
"{""arduino_VCC"":4.28,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":47,""gps_lat"":52.63829604615546,""gps_lng"":4.750117346651393,""gps_prec"":2,""payload"":""ca dd 4 83 60 bb 0 2f 14 / d6 79 42"",""raw"":""yt0Eg2C7AC8U1nlC"",""time"":""2017-03-09T12:13:11.191850313Z"",""time_to_fix"":90"	3/9/2017 12:13	ballon	ca dd 4 83 60 bb 0 2f 14 / d6 79 42	52.63829605	4.750117347	47	2	4.28	21	90	
"{""arduino_VCC"":4.28,""arduino_temp"":22,""device_id"":""ballon"",""gps_alt"":402,""gps_lat"":52.63667599181389,""gps_lng"":4.752048537257224,""gps_prec"":5.5,""payload"":""ca dc 6d 83 61 15 1 92 37 / d6 7a 28"",""raw"":""ytxtg2EVAZI31noo"",""time"":""2017-03-09T12:14:22.503018847Z"",""time_to_fix"":40"	3/9/2017 12:14	ballon	ca dc 6d 83 61 15 1 92 37 / d6 7a 28	52.63667599	4.752048537	402	5.5	4.28	22	40	
"{""arduino_VCC"":4.28,""arduino_temp"":22,""device_id"":""ballon"",""gps_alt"":402,""gps_lat"":52.63667599181389,""gps_lng"":4.752048537257224,""gps_prec"":5.5,""payload"":""ca dc 6d 83 61 15 1 92 37 / d6 7a 6d"",""raw"":""ytxtg2EVAZI31npt"",""time"":""2017-03-09T12:20:48.78888461Z"",""time_to_fix"":305"	3/9/2017 12:20	ballon	ca dc 6d 83 61 15 1 92 37 / d6 7a 6d	52.63667599	4.752048537	402	5.5	4.28	22	305	
"{""arduino_VCC"":4.28,""arduino_temp"":23,""device_id"":""ballon"",""gps_alt"":402,""gps_lat"":52.63667599181389,""gps_lng"":4.752048537257224,""gps_prec"":5.5,""payload"":""ca dc 6d 83 61 15 1 92 37 / d6 7b 6d"",""raw"":""ytxtg2EVAZI31ntt"",""time"":""2017-03-09T12:26:01.682645734Z"",""time_to_fix"":305"	3/9/2017 12:26	ballon	ca dc 6d 83 61 15 1 92 37 / d6 7b 6d	52.63667599	4.752048537	402	5.5	4.28	23	305	
"{""arduino_VCC"":4.28,""arduino_temp"":24,""device_id"":""ballon"",""gps_alt"":402,""gps_lat"":52.63667599181389,""gps_lng"":4.752048537257224,""gps_prec"":5.5,""payload"":""ca dc 6d 83 61 15 1 92 37 / d6 7c 6d"",""raw"":""ytxtg2EVAZI31nxt"",""time"":""2017-03-09T12:31:12.836614451Z"",""time_to_fix"":305"	3/9/2017 12:31	ballon	ca dc 6d 83 61 15 1 92 37 / d6 7c 6d	52.63667599	4.752048537	402	5.5	4.28	24	305	
"{""arduino_VCC"":4.28,""arduino_temp"":24,""device_id"":""ballon"",""gps_alt"":1,""gps_lat"":52.63845697870593,""gps_lng"":4.749752566203597,""gps_prec"":3.3,""payload"":""ca dd 13 83 60 aa 0 1 21 / d6 7c 4c"",""raw"":""yt0Tg2CqAAEh1nxM"",""time"":""2017-03-09T12:33:39.564218113Z"",""time_to_fix"":140"	3/9/2017 12:33	ballon	ca dd 13 83 60 aa 0 1 21 / d6 7c 4c	52.63845698	4.749752566	1	3.3	4.28	24	140	
"{""arduino_VCC"":4.28,""arduino_temp"":23,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63845697870593,""gps_lng"":4.749859854570616,""gps_prec"":2,""payload"":""ca dd 13 83 60 af 0 0 14 / d6 7b f"",""raw"":""yt0Tg2CvAAAU1nsP"",""time"":""2017-03-09T12:34:01.385962265Z"",""time_to_fix"":15"	3/9/2017 12:34	ballon	ca dd 13 83 60 af 0 0 14 / d6 7b f	52.63845698	4.749859855	0	2	4.28	23	15	
"{""arduino_VCC"":4.28,""arduino_temp"":23,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.638650097766515,""gps_lng"":4.749516531796246,""gps_prec"":3.3,""payload"":""ca dd 25 83 60 9f 0 0 21 / d6 7b 14"",""raw"":""yt0lg2CfAAAh1nsU"",""time"":""2017-03-09T12:39:14.924574339Z"",""time_to_fix"":20"	3/9/2017 12:39	ballon	ca dd 25 83 60 9f 0 0 21 / d6 7b 14	52.6386501	4.749516532	0	3.3	4.28	23	20	
"{""arduino_VCC"":4.28,""arduino_temp"":23,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.638521351726126,""gps_lng"":4.749666735510004,""gps_prec"":2,""payload"":""ca dd 19 83 60 a6 0 0 14 / d6 7b 1e"",""raw"":""yt0Zg2CmAAAU1nse"",""time"":""2017-03-09T12:41:26.019884265Z"",""time_to_fix"":30"	3/9/2017 12:41	ballon	ca dd 19 83 60 a6 0 0 14 / d6 7b 1e	52.63852135	4.749666736	0	2	4.28	23	30	
"{""arduino_VCC"":4.28,""arduino_temp"":23,""device_id"":""ballon"",""gps_alt"":8,""gps_lat"":52.63831750382886,""gps_lng"":4.749988600611005,""gps_prec"":2.6,""payload"":""ca dd 6 83 60 b5 0 8 1a / d6 7b 19"",""raw"":""yt0Gg2C1AAga1nsZ"",""time"":""2017-03-09T12:43:22.00594562Z"",""time_to_fix"":25"	3/9/2017 12:43	ballon	ca dd 6 83 60 b5 0 8 1a / d6 7b 19	52.6383175	4.749988601	8	2.6	4.28	23	25	
"{""arduino_VCC"":4.26,""arduino_temp"":22,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.638435521032534,""gps_lng"":4.749752566203597,""gps_prec"":3.4,""payload"":""ca dd 11 83 60 aa 0 0 22 / d5 7a 19"",""raw"":""yt0Rg2CqAAAi1XoZ"",""time"":""2017-03-09T12:45:23.510365844Z"",""time_to_fix"":25"	3/9/2017 12:45	ballon	ca dd 11 83 60 aa 0 0 22 / d5 7a 19	52.63843552	4.749752566	0	3.4	4.26	22	25	
"{""arduino_VCC"":4.28,""arduino_temp"":22,""device_id"":""ballon"",""gps_alt"":7,""gps_lat"":52.63828531731875,""gps_lng"":4.749988600611005,""gps_prec"":2.7,""payload"":""ca dd 3 83 60 b5 0 7 1b / d6 7a 23"",""raw"":""yt0Dg2C1AAcb1noj"",""time"":""2017-03-09T12:47:34.151371944Z"",""time_to_fix"":35"	3/9/2017 12:47	ballon	ca dd 3 83 60 b5 0 7 1b / d6 7a 23	52.63828532	4.749988601	7	2.7	4.28	22	35	
